Date,PX
04/01/2010,1118.3
05/01/2010,1118.7
06/01/2010,1136.5
07/01/2010,1133.7
08/01/2010,1138.9
11/01/2010,1151.4
12/01/2010,1129.4
13/01/2010,1136.8
14/01/2010,1143
15/01/2010,1130.5
19/01/2010,1140
20/01/2010,1112.6
21/01/2010,1103.2
22/01/2010,1089.7
25/01/2010,1095.7
26/01/2010,1098.3
27/01/2010,1084.5
28/01/2010,1083.6
29/01/2010,1083
01/02/2010,1104.3
02/02/2010,1117.4
03/02/2010,1111.4
04/02/2010,1062.4
05/02/2010,1052.2
08/02/2010,1065.7
09/02/2010,1076.7
10/02/2010,1075.8
11/02/2010,1094.2
12/02/2010,1089.5
16/02/2010,1119.3
17/02/2010,1119.5
18/02/2010,1118
19/02/2010,1121.3
22/02/2010,1112.6
23/02/2010,1102.7
24/02/2010,1096.5
25/02/2010,1108.5
26/02/2010,1118.9
01/03/2010,1118.3
02/03/2010,1137.4
03/03/2010,1143.3
04/03/2010,1133.1
05/03/2010,1135.2
08/03/2010,1124
09/03/2010,1122.3
10/03/2010,1108.1
11/03/2010,1108.2
12/03/2010,1101.7
15/03/2010,1105.4
16/03/2010,1122.5
17/03/2010,1124.2
18/03/2010,1127.5
19/03/2010,1107.6
22/03/2010,1099.5
23/03/2010,1103.7
24/03/2010,1088.8
25/03/2010,1092.9
26/03/2010,1104.3
29/03/2010,1110.3
30/03/2010,1104.5
31/03/2010,1113.3
01/04/2010,1125.1
05/04/2010,1132.9
06/04/2010,1135.1
07/04/2010,1152.3
08/04/2010,1152.2
09/04/2010,1161.1
12/04/2010,1161.6
13/04/2010,1152.8
14/04/2010,1159
15/04/2010,1159.7
16/04/2010,1136.3
19/04/2010,1135.2
20/04/2010,1138.6
21/04/2010,1148.2
22/04/2010,1142.3
23/04/2010,1153.1
26/04/2010,1153.5
27/04/2010,1161.7
28/04/2010,1171.3
29/04/2010,1168.8
30/04/2010,1180.7
03/05/2010,1183.3
04/05/2010,1169.2
05/05/2010,1175
06/05/2010,1197.3
07/05/2010,1210.4
10/05/2010,1200.8
11/05/2010,1220.3
12/05/2010,1243.1
13/05/2010,1229.2
14/05/2010,1227.8
17/05/2010,1228.1
18/05/2010,1214.6
19/05/2010,1193.1
20/05/2010,1188.6
21/05/2010,1176.1
24/05/2010,1194
25/05/2010,1198
26/05/2010,1213.4
27/05/2010,1211.9
28/05/2010,1212.2
01/06/2010,1224.8
02/06/2010,1220.6
03/06/2010,1208.3
04/06/2010,1216.2
07/06/2010,1239.3
08/06/2010,1244
09/06/2010,1228.5
10/06/2010,1220.8
11/06/2010,1228.9
14/06/2010,1223.3
15/06/2010,1233.2
16/06/2010,1229.3
17/06/2010,1247.5
18/06/2010,1257.2
21/06/2010,1239.7
22/06/2010,1239.9
23/06/2010,1234.1
24/06/2010,1245.5
25/06/2010,1255.8
28/06/2010,1238.2
29/06/2010,1242.4
30/06/2010,1245.9
01/07/2010,1206.7
02/07/2010,1207.7
06/07/2010,1195.1
07/07/2010,1198.9
08/07/2010,1196.1
09/07/2010,1209.8
12/07/2010,1198.7
13/07/2010,1213.5
14/07/2010,1207
15/07/2010,1208.3
16/07/2010,1188.2
19/07/2010,1181.9
20/07/2010,1191.7
21/07/2010,1191.8
22/07/2010,1195.6
23/07/2010,1187.8
26/07/2010,1183.1
27/07/2010,1158
28/07/2010,1160.4
29/07/2010,1168.4
30/07/2010,1181.7
02/08/2010,1183.4
03/08/2010,1185.2
04/08/2010,1193.7
05/08/2010,1197.2
06/08/2010,1203.4
09/08/2010,1200.7
10/08/2010,1196.2
11/08/2010,1197.5
12/08/2010,1214.8
13/08/2010,1214.9
16/08/2010,1224.5
17/08/2010,1226.6
18/08/2010,1229.7
19/08/2010,1233.8
20/08/2010,1227.2
23/08/2010,1226.9
24/08/2010,1231.8
25/08/2010,1239.5
26/08/2010,1235.4
27/08/2010,1236
30/08/2010,1238
31/08/2010,1249
01/09/2010,1246.8
02/09/2010,1252.1
03/09/2010,1249.8
07/09/2010,1257.9
08/09/2010,1256.1
09/09/2010,1249.4
10/09/2010,1245
13/09/2010,1245.6
14/09/2010,1270.2
15/09/2010,1267.1
16/09/2010,1272.2
17/09/2010,1275.9
20/09/2010,1279.3
21/09/2010,1272.7
22/09/2010,1290.5
23/09/2010,1294.6
24/09/2010,1296.3
27/09/2010,1296.9
28/09/2010,1306.6
29/09/2010,1308.5
30/09/2010,1307.8
01/10/2010,1316.1
04/10/2010,1315.4
05/10/2010,1338.9
06/10/2010,1346.4
07/10/2010,1333.9
08/10/2010,1344.2
11/10/2010,1353.3
12/10/2010,1345.7
13/10/2010,1369.5
14/10/2010,1376.7
15/10/2010,1371.1
18/10/2010,1371.2
19/10/2010,1335.1
20/10/2010,1343.3
21/10/2010,1324.7
22/10/2010,1324.4
25/10/2010,1338.3
26/10/2010,1338
27/10/2010,1322.2
28/10/2010,1342.5
29/10/2010,1357.6
01/11/2010,1350.6
02/11/2010,1356.9
03/11/2010,1337.6
04/11/2010,1383.1
05/11/2010,1397.7
08/11/2010,1403.2
09/11/2010,1410.1
10/11/2010,1399.3
11/11/2010,1403.3
12/11/2010,1365.5
15/11/2010,1368.5
16/11/2010,1338.4
17/11/2010,1336.9
18/11/2010,1353
19/11/2010,1352.3
22/11/2010,1357.8
23/11/2010,1377.6
24/11/2010,1373
26/11/2010,1362.4
29/11/2010,1366
30/11/2010,1385
01/12/2010,1387.3
02/12/2010,1388.5
03/12/2010,1405.4
06/12/2010,1415.3
07/12/2010,1408.3
08/12/2010,1382.5
09/12/2010,1392.1
10/12/2010,1384.3
13/12/2010,1397.3
14/12/2010,1403.6
15/12/2010,1385.5
16/12/2010,1370.4
17/12/2010,1378.6
20/12/2010,1385.5
21/12/2010,1388.2
22/12/2010,1386.8
23/12/2010,1380
27/12/2010,1382.4
28/12/2010,1405.2
29/12/2010,1413.1
30/12/2010,1405.9
31/12/2010,1421.4
03/01/2011,1422.9
04/01/2011,1378.8
05/01/2011,1373.7
06/01/2011,1371.7
07/01/2011,1368.9
10/01/2011,1374.1
11/01/2011,1384.3
12/01/2011,1385.8
13/01/2011,1387
14/01/2011,1360.5
18/01/2011,1368.2
19/01/2011,1370.2
20/01/2011,1346.5
21/01/2011,1341
24/01/2011,1344.5
25/01/2011,1332.3
26/01/2011,1333
27/01/2011,1318.4
28/01/2011,1340.7
31/01/2011,1333.8
01/02/2011,1339.6
02/02/2011,1331.5
03/02/2011,1352.3
04/02/2011,1348.3
07/02/2011,1347.6
08/02/2011,1363.4
09/02/2011,1364.8
10/02/2011,1361.9
11/02/2011,1359.9
14/02/2011,1364.6
15/02/2011,1373.6
16/02/2011,1374.7
17/02/2011,1384.7
18/02/2011,1388.2
22/02/2011,1400.5
23/02/2011,1413.4
24/02/2011,1415.3
25/02/2011,1409.3
28/02/2011,1409.9
01/03/2011,1431.2
02/03/2011,1437.7
03/03/2011,1416.4
04/03/2011,1428.6
07/03/2011,1434.5
08/03/2011,1427.2
09/03/2011,1429.6
10/03/2011,1412.5
11/03/2011,1421.8
14/03/2011,1424.9
15/03/2011,1392.8
16/03/2011,1396.1
17/03/2011,1404.2
18/03/2011,1416.1
21/03/2011,1426.4
22/03/2011,1427.6
23/03/2011,1438
24/03/2011,1434.9
25/03/2011,1426.2
28/03/2011,1419.9
29/03/2011,1416.2
30/03/2011,1423.8
31/03/2011,1438.9
01/04/2011,1428.1
04/04/2011,1432.2
05/04/2011,1451.8
06/04/2011,1457.7
07/04/2011,1458.5
08/04/2011,1473.4
11/04/2011,1467.4
12/04/2011,1452.9
13/04/2011,1454.9
14/04/2011,1471.7
15/04/2011,1485.3
18/04/2011,1492.3
19/04/2011,1494.5
20/04/2011,1498.3
21/04/2011,1503.2
25/04/2011,1508.6
26/04/2011,1503
27/04/2011,1516.7
28/04/2011,1531.2
29/04/2011,1556.4
02/05/2011,1557.1
03/05/2011,1540.4
04/05/2011,1515.3
05/05/2011,1481.4
06/05/2011,1491.6
09/05/2011,1503.2
10/05/2011,1516.9
11/05/2011,1501.4
12/05/2011,1506.8
13/05/2011,1493.6
16/05/2011,1490.6
17/05/2011,1480
18/05/2011,1495.8
19/05/2011,1492.4
20/05/2011,1508.9
23/05/2011,1515.4
24/05/2011,1523.3
25/05/2011,1526.7
26/05/2011,1522.8
27/05/2011,1536.3
31/05/2011,1535.9
01/06/2011,1542.4
02/06/2011,1532
03/06/2011,1541.7
06/06/2011,1546.5
07/06/2011,1543.3
08/06/2011,1538.1
09/06/2011,1542.1
10/06/2011,1528.6
13/06/2011,1515
14/06/2011,1523.8
15/06/2011,1525.6
16/06/2011,1529.3
17/06/2011,1538.6
20/06/2011,1541.5
21/06/2011,1546
22/06/2011,1552.9
23/06/2011,1520.1
24/06/2011,1500.5
27/06/2011,1496
28/06/2011,1499.7
29/06/2011,1510.4
30/06/2011,1502.8
01/07/2011,1482.6
05/07/2011,1512.7
06/07/2011,1529.2
07/07/2011,1530.6
08/07/2011,1541.6
11/07/2011,1549.2
12/07/2011,1562.3
13/07/2011,1585.5
14/07/2011,1589.3
15/07/2011,1590.1
18/07/2011,1602.4
19/07/2011,1601.1
20/07/2011,1596.9
21/07/2011,1587
22/07/2011,1601.5
25/07/2011,1612.2
26/07/2011,1616.8
27/07/2011,1615.1
28/07/2011,1613.4
29/07/2011,1628.3
01/08/2011,1619
02/08/2011,1641.9
03/08/2011,1663.4
04/08/2011,1656.2
05/08/2011,1648.8
08/08/2011,1710.2
09/08/2011,1740
10/08/2011,1781.3
11/08/2011,1748.8
12/08/2011,1740.2
15/08/2011,1755.5
16/08/2011,1782.4
17/08/2011,1791.2
18/08/2011,1818.9
19/08/2011,1848.9
22/08/2011,1888.7
23/08/2011,1858.3
24/08/2011,1754.1
25/08/2011,1759.8
26/08/2011,1794.1
29/08/2011,1788.4
30/08/2011,1827.5
31/08/2011,1829.3
01/09/2011,1826.7
02/09/2011,1874.4
06/09/2011,1870.6
07/09/2011,1814.9
08/09/2011,1855.2
09/09/2011,1857.1
12/09/2011,1810.6
13/09/2011,1827.5
14/09/2011,1824.2
15/09/2011,1779.2
16/09/2011,1812.5
19/09/2011,1776.7
20/09/2011,1806.9
21/09/2011,1805.8
22/09/2011,1739.4
23/09/2011,1637.7
26/09/2011,1592.7
27/09/2011,1650.6
28/09/2011,1616.1
29/09/2011,1615.5
30/09/2011,1620.4
03/10/2011,1656
04/10/2011,1614.7
05/10/2011,1640.3
06/10/2011,1651.9
07/10/2011,1634.5
10/10/2011,1669.6
11/10/2011,1659.7
12/10/2011,1681.3
13/10/2011,1667.3
14/10/2011,1681.8
17/10/2011,1675.5
18/10/2011,1651.7
19/10/2011,1646
20/10/2011,1611.9
21/10/2011,1635.1
24/10/2011,1651.5
25/10/2011,1699.6
26/10/2011,1722.7
27/10/2011,1746.7
28/10/2011,1747.2
31/10/2011,1725.2
01/11/2011,1711.8
02/11/2011,1729.6
03/11/2011,1765.1
04/11/2011,1756.1
07/11/2011,1791.1
08/11/2011,1799.2
09/11/2011,1791.6
10/11/2011,1759.6
11/11/2011,1788.1
14/11/2011,1778.4
15/11/2011,1782.2
16/11/2011,1774.3
17/11/2011,1720.2
18/11/2011,1725.1
21/11/2011,1678.6
22/11/2011,1702.4
23/11/2011,1695.9
25/11/2011,1685.7
28/11/2011,1710.8
29/11/2011,1713.4
30/11/2011,1745.5
01/12/2011,1735.3
02/12/2011,1747
05/12/2011,1730.7
06/12/2011,1727.9
07/12/2011,1740.9
08/12/2011,1709.8
09/12/2011,1712.8
12/12/2011,1664.2
13/12/2011,1659.9
14/12/2011,1584.3
15/12/2011,1574.6
16/12/2011,1595.6
19/12/2011,1594.4
20/12/2011,1615.6
21/12/2011,1611.9
22/12/2011,1608.9
23/12/2011,1604.7
27/12/2011,1594.2
28/12/2011,1562.9
29/12/2011,1540.9
30/12/2011,1566.8
03/01/2012,1600.5
04/01/2012,1612.7
05/01/2012,1620.1
06/01/2012,1616.8
09/01/2012,1608.1
10/01/2012,1631.5
11/01/2012,1639.6
12/01/2012,1647.7
13/01/2012,1630.8
17/01/2012,1655.6
18/01/2012,1659.9
19/01/2012,1654.5
20/01/2012,1664
23/01/2012,1678.3
24/01/2012,1664.5
25/01/2012,1700.1
26/01/2012,1726.7
27/01/2012,1732.2
30/01/2012,1731
31/01/2012,1737.8
01/02/2012,1747.1
02/02/2012,1756.8
03/02/2012,1737.9
06/02/2012,1722.8
07/02/2012,1746.4
08/02/2012,1729.3
09/02/2012,1739
10/02/2012,1723.3
13/02/2012,1723
14/02/2012,1715.9
15/02/2012,1726.3
16/02/2012,1726.8
17/02/2012,1724.5
21/02/2012,1757.1
22/02/2012,1770
23/02/2012,1784.9
24/02/2012,1775.1
27/02/2012,1773.6
28/02/2012,1788.4
29/02/2012,1711.3
01/03/2012,1722.2
02/03/2012,1709.8
05/03/2012,1703.9
06/03/2012,1672.1
07/03/2012,1683.9
08/03/2012,1698.7
09/03/2012,1711.5
12/03/2012,1699.8
13/03/2012,1694.2
14/03/2012,1642.9
15/03/2012,1659.5
16/03/2012,1655.8
19/03/2012,1667.3
20/03/2012,1647
21/03/2012,1650.3
22/03/2012,1642.5
23/03/2012,1662.4
26/03/2012,1685.6
27/03/2012,1684.9
28/03/2012,1657.9
29/03/2012,1652.2
30/03/2012,1669.3
02/04/2012,1677.5
03/04/2012,1670
04/04/2012,1612.3
05/04/2012,1628.5
09/04/2012,1642.5
10/04/2012,1659.5
11/04/2012,1659
12/04/2012,1679.5
13/04/2012,1659.1
16/04/2012,1648.7
17/04/2012,1650.3
18/04/2012,1638.8
19/04/2012,1640.6
20/04/2012,1642.1
23/04/2012,1631.9
24/04/2012,1643
25/04/2012,1641.4
26/04/2012,1659.6
27/04/2012,1664.8
30/04/2012,1664.2
01/05/2012,1662.4
02/05/2012,1654
03/05/2012,1634.8
04/05/2012,1645.2
07/05/2012,1639.1
08/05/2012,1604.5
09/05/2012,1594.2
10/05/2012,1595.5
11/05/2012,1584
14/05/2012,1561
15/05/2012,1557.1
16/05/2012,1536.6
17/05/2012,1574.9
18/05/2012,1591.9
21/05/2012,1588.7
22/05/2012,1576.6
23/05/2012,1548.4
24/05/2012,1557.5
25/05/2012,1568.9
29/05/2012,1548.7
30/05/2012,1563.4
31/05/2012,1562.6
01/06/2012,1620.5
04/06/2012,1612.2
05/06/2012,1615.2
06/06/2012,1632.8
07/06/2012,1586.6
08/06/2012,1590.1
11/06/2012,1595.5
12/06/2012,1612.7
13/06/2012,1618.1
14/06/2012,1618.4
15/06/2012,1627
18/06/2012,1625.7
19/06/2012,1622.2
20/06/2012,1614.8
21/06/2012,1564.5
22/06/2012,1566
25/06/2012,1587.5
26/06/2012,1574
27/06/2012,1577.5
28/06/2012,1550.4
29/06/2012,1604.2
02/07/2012,1597.7
03/07/2012,1621.8
05/07/2012,1609.4
06/07/2012,1578.9
09/07/2012,1589.1
10/07/2012,1579.8
11/07/2012,1575.7
12/07/2012,1565.3
13/07/2012,1592
16/07/2012,1591.6
17/07/2012,1589.5
18/07/2012,1570.8
19/07/2012,1580.4
20/07/2012,1582.8
23/07/2012,1577.4
24/07/2012,1576.2
25/07/2012,1608.1
26/07/2012,1615.1
27/07/2012,1618
30/07/2012,1619.7
31/07/2012,1610.5
01/08/2012,1603.7
02/08/2012,1587.4
03/08/2012,1606
06/08/2012,1612.9
07/08/2012,1609.7
08/08/2012,1612.9
09/08/2012,1617.1
10/08/2012,1619.7
13/08/2012,1609.6
14/08/2012,1599.4
15/08/2012,1603.7
16/08/2012,1616.1
17/08/2012,1616.3
20/08/2012,1620.1
21/08/2012,1639.9
22/08/2012,1637.4
23/08/2012,1669.6
24/08/2012,1669.8
27/08/2012,1672.4
28/08/2012,1666.5
29/08/2012,1659.8
30/08/2012,1654.8
31/08/2012,1685.3
04/09/2012,1693.6
05/09/2012,1691.6
06/09/2012,1703.2
07/09/2012,1738
10/09/2012,1729.2
11/09/2012,1732.3
12/09/2012,1731.1
13/09/2012,1769.5
14/09/2012,1770.1
17/09/2012,1768
18/09/2012,1768.7
19/09/2012,1769.3
20/09/2012,1767.8
21/09/2012,1775.6
24/09/2012,1762.2
25/09/2012,1763.9
26/09/2012,1750.7
27/09/2012,1777.6
28/09/2012,1771.1
01/10/2012,1780.5
02/10/2012,1772.7
03/10/2012,1777.3
04/10/2012,1794.1
05/10/2012,1778.6
08/10/2012,1773.5
09/10/2012,1763
10/10/2012,1763.2
11/10/2012,1768.8
12/10/2012,1758
15/10/2012,1736
16/10/2012,1744.7
17/10/2012,1751.5
18/10/2012,1743.3
19/10/2012,1722.8
22/10/2012,1725.1
23/10/2012,1708.3
24/10/2012,1700.5
25/10/2012,1712
26/10/2012,1710.9
29/10/2012,1707.7
30/10/2012,1712.1
31/10/2012,1719.1
01/11/2012,1715.5
02/11/2012,1675.2
05/11/2012,1683.2
06/11/2012,1715
07/11/2012,1714
08/11/2012,1726
09/11/2012,1730.9
12/11/2012,1730.9
13/11/2012,1724.8
14/11/2012,1730.1
15/11/2012,1713.8
16/11/2012,1714.7
19/11/2012,1734.4
20/11/2012,1723.6
21/11/2012,1728.2
23/11/2012,1751.4
26/11/2012,1749.6
27/11/2012,1742.3
28/11/2012,1716.5
29/11/2012,1727.2
30/11/2012,1710.9
03/12/2012,1719.6
04/12/2012,1694.4
05/12/2012,1692.4
06/12/2012,1700.3
07/12/2012,1704
10/12/2012,1713
11/12/2012,1708.2
12/12/2012,1716.6
13/12/2012,1695.6
14/12/2012,1695.8
17/12/2012,1697
18/12/2012,1669.5
19/12/2012,1666.5
20/12/2012,1644.9
21/12/2012,1659.1
24/12/2012,1658.6
26/12/2012,1659.8
27/12/2012,1662.6
28/12/2012,1655.9
31/12/2012,1675.8
02/01/2013,1688.8
03/01/2013,1674.6
04/01/2013,1648.9
07/01/2013,1646.3
08/01/2013,1662.2
09/01/2013,1655.5
10/01/2013,1678
11/01/2013,1660.6
14/01/2013,1669.4
15/01/2013,1683.9
16/01/2013,1683.2
17/01/2013,1690.8
18/01/2013,1687
22/01/2013,1693.2
23/01/2013,1686.7
24/01/2013,1669.9
25/01/2013,1656.6
28/01/2013,1652.9
29/01/2013,1660.8
30/01/2013,1679.9
31/01/2013,1660.6
01/02/2013,1669.4
04/02/2013,1675.3
05/02/2013,1672.4
06/02/2013,1677.7
07/02/2013,1670.4
08/02/2013,1666
11/02/2013,1648.2
12/02/2013,1648.7
13/02/2013,1644.2
14/02/2013,1634.7
15/02/2013,1608.8
19/02/2013,1603.6
20/02/2013,1577.6
21/02/2013,1578.2
22/02/2013,1572.4
25/02/2013,1586.2
26/02/2013,1615.2
27/02/2013,1595.7
28/02/2013,1578.1
01/03/2013,1572.3
04/03/2013,1572.4
05/03/2013,1574.9
06/03/2013,1574.9
07/03/2013,1575.1
08/03/2013,1576.9
11/03/2013,1578
12/03/2013,1591.7
13/03/2013,1588.4
14/03/2013,1590.7
15/03/2013,1592.6
18/03/2013,1604.6
19/03/2013,1611.3
20/03/2013,1607.5
21/03/2013,1613.8
22/03/2013,1606.1
25/03/2013,1604.5
26/03/2013,1595.7
27/03/2013,1606.2
28/03/2013,1594.8
01/04/2013,1600
02/04/2013,1575.1
03/04/2013,1552.8
04/04/2013,1551.8
05/04/2013,1575.4
08/04/2013,1572
09/04/2013,1586.2
10/04/2013,1558.3
11/04/2013,1564.3
12/04/2013,1501
15/04/2013,1360.6
16/04/2013,1386.8
17/04/2013,1382.2
