Date,GC1 Comdty,ES1 Index,GBPUSD Curncy,VG1 Index
04/01/2010,1118.3,1128.75,1.6085,3015
05/01/2010,1118.7,1132.25,1.5992,3011
06/01/2010,1136.5,1133,1.6019,3006
07/01/2010,1133.7,1137.5,1.5933,3007
08/01/2010,1138.9,1141.5,1.6023,3018
11/01/2010,1151.4,1142.5,1.6115,3005
12/01/2010,1129.4,1134,1.6164,2977
13/01/2010,1136.8,1141.5,1.628,2978
14/01/2010,1143,1145.25,1.6335,2988
15/01/2010,1130.5,1132.25,1.6264,2936
18/01/2010,1130.5,1132.25,1.6343,2958
19/01/2010,1140,1145.75,1.6362,2983
20/01/2010,1112.6,1134,1.6292,2914
21/01/2010,1103.2,1111,1.6195,2861
22/01/2010,1089.7,1091,1.6113,2836
25/01/2010,1095.7,1092.5,1.6245,2806
26/01/2010,1098.3,1087.25,1.6143,2825
27/01/2010,1084.5,1094.5,1.6169,2783
28/01/2010,1083.6,1079.25,1.6137,2748
29/01/2010,1083,1070.5,1.5986,2773
01/02/2010,1104.3,1086.25,1.5958,2795
02/02/2010,1117.4,1097.25,1.5973,2832
03/02/2010,1111.4,1096.5,1.5892,2804
04/02/2010,1062.4,1061.75,1.5754,2710
05/02/2010,1052.2,1059.75,1.5641,2641
08/02/2010,1065.7,1056,1.5586,2665
09/02/2010,1076.7,1066.25,1.5719,2661
10/02/2010,1075.8,1063.25,1.5595,2697
11/02/2010,1094.2,1076.5,1.5705,2683
12/02/2010,1089.5,1079,1.5701,2676
15/02/2010,1089.5,1079,1.566,2682
16/02/2010,1119.3,1093.25,1.5792,2719
17/02/2010,1119.5,1099.5,1.5672,2759
18/02/2010,1118,1105.5,1.5529,2780
19/02/2010,1121.3,1106.25,1.5473,2796
22/02/2010,1112.6,1107.5,1.5481,2777
23/02/2010,1102.7,1097.25,1.5426,2728
24/02/2010,1096.5,1103.5,1.5408,2733
25/02/2010,1108.5,1102.25,1.5265,2687
26/02/2010,1118.9,1103.5,1.5238,2724
01/03/2010,1118.3,1114.5,1.4991,2771
02/03/2010,1137.4,1117.5,1.4971,2794
03/03/2010,1143.3,1118.5,1.51,2821
04/03/2010,1133.1,1122.25,1.5032,2817
05/03/2010,1135.2,1136.5,1.5137,2878
08/03/2010,1124,1137,1.5066,2878
09/03/2010,1122.3,1140.5,1.4997,2881
10/03/2010,1108.1,1145.75,1.4978,2908
11/03/2010,1108.2,1150.5,1.5062,2894
12/03/2010,1101.7,1151.25,1.5204,2898
15/03/2010,1105.4,1150.25,1.5057,2873
16/03/2010,1122.5,1159.5,1.5243,2907
17/03/2010,1124.2,1165.75,1.5326,2930
18/03/2010,1127.5,1166,1.5244,2914
19/03/2010,1107.6,1172.95,1.5013,2931.35
22/03/2010,1099.5,1162,1.51,2815
23/03/2010,1103.7,1169.5,1.5048,2842
24/03/2010,1088.8,1164.5,1.4868,2833
25/03/2010,1092.9,1162.75,1.4813,2875
26/03/2010,1104.3,1163.5,1.4898,2864
29/03/2010,1110.3,1168.75,1.4988,2877
30/03/2010,1104.5,1169.5,1.5069,2871
31/03/2010,1113.3,1165.25,1.5184,2851
01/04/2010,1125.1,1173.75,1.5292,2902
02/04/2010,1125.1,1173.75,1.5209,2902
05/04/2010,1132.9,1183,1.5296,2902
06/04/2010,1135.1,1185.75,1.5267,2914
07/04/2010,1152.3,1179,1.5241,2905
08/04/2010,1152.2,1183.75,1.528,2871
09/04/2010,1161.1,1192.5,1.537,2923
12/04/2010,1161.6,1192.5,1.5368,2932
13/04/2010,1152.8,1193,1.5381,2920
14/04/2010,1159,1206.5,1.5466,2941
15/04/2010,1159.7,1208.5,1.5496,2941
16/04/2010,1136.3,1190.25,1.5363,2878
19/04/2010,1135.2,1195.5,1.5338,2867
20/04/2010,1138.6,1205.5,1.5359,2910
21/04/2010,1148.2,1200.5,1.5411,2874
22/04/2010,1142.3,1201.75,1.5378,2831
23/04/2010,1153.1,1212.25,1.5377,2848
26/04/2010,1153.5,1208.25,1.5458,2879
27/04/2010,1161.7,1181,1.5265,2778
28/04/2010,1171.3,1190,1.5209,2718
29/04/2010,1168.8,1205.25,1.532,2762
30/04/2010,1180.7,1183.5,1.5274,2748
03/05/2010,1183.3,1198.5,1.5248,2760
04/05/2010,1169.2,1172.5,1.5143,2656
05/05/2010,1175,1164,1.5102,2634
06/05/2010,1197.3,1122.5,1.4833,2580
07/05/2010,1210.4,1107,1.4804,2465
10/05/2010,1200.8,1156.5,1.4847,2717
11/05/2010,1220.3,1152.25,1.4956,2701
12/05/2010,1243.1,1169.75,1.4824,2739
13/05/2010,1229.2,1156.75,1.4613,2735
14/05/2010,1227.8,1135.25,1.4536,2599
17/05/2010,1228.1,1134.5,1.4475,2608
18/05/2010,1214.6,1118.75,1.4334,2672
19/05/2010,1193.1,1110,1.4444,2594
20/05/2010,1188.6,1070,1.4366,2548
21/05/2010,1176.1,1084.5,1.446,2555
24/05/2010,1194,1071,1.4425,2545
25/05/2010,1198,1073,1.4409,2481
26/05/2010,1213.4,1061.25,1.4387,2520
27/05/2010,1211.9,1101,1.4582,2616
28/05/2010,1212.2,1088.5,1.4458,2607
31/05/2010,1212.2,1088.5,1.4538,2601
01/06/2010,1224.8,1069.5,1.4651,2597
02/06/2010,1220.6,1096.75,1.4652,2598
03/06/2010,1208.3,1103.5,1.4614,2625
04/06/2010,1216.2,1066,1.4454,2542
07/06/2010,1239.3,1048,1.4468,2517
08/06/2010,1244,1059.25,1.4468,2500
09/06/2010,1228.5,1055.5,1.4528,2552
10/06/2010,1220.8,1083.75,1.4715,2602
11/06/2010,1228.9,1089.25,1.4552,2632
14/06/2010,1223.3,1090.5,1.4742,2680
15/06/2010,1233.2,1113.5,1.4804,2715
16/06/2010,1229.3,1114,1.4731,2719
17/06/2010,1247.5,1116.25,1.4824,2726
18/06/2010,1257.2,1118.83,1.4824,2733.55
21/06/2010,1239.7,1110.5,1.4757,2762
